"url","Name","Name_link","Country","Capacity","Status","Type","Owner","Operator","Connection"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daini 4","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAINI-4","Japan","1067 MWe","OPERABLE","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","17 December 1986"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 1","http://www.world-nuclear.org/reactor/default.aspx/FUQING-1","China","1000 MWe","OPERABLE","Pressurised Water Reactor","China National Nuclear Corporation","CNNC Fujian Fuqing Nuclear Power Co Ltd","20 August 2014"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 2","http://www.world-nuclear.org/reactor/default.aspx/FUQING-2","China","1000 MWe","OPERABLE","Pressurised Water Reactor","China National Nuclear Corporation","CNNC Fujian Fuqing Nuclear Power Co Ltd","6 August 2015"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 3","http://www.world-nuclear.org/reactor/default.aspx/FUQING-3","China","1000 MWe","OPERABLE","Pressurised Water Reactor","China National Nuclear Corporation","CNNC Fujian Fuqing Nuclear Power Co Ltd","7 September 2016"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 4","http://www.world-nuclear.org/reactor/default.aspx/FUQING-4","China","1000 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","China National Nuclear Corporation","CNNC Fujian Fuqing Nuclear Power Co Ltd",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 5","http://www.world-nuclear.org/reactor/default.aspx/FUQING-5","China","1000 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","China National Nuclear Corporation","CNNC Fujian Fuqing Nuclear Power Co Ltd",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fuqing 6","http://www.world-nuclear.org/reactor/default.aspx/FUQING-6","China","1000 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","China National Nuclear Corporation","Cnnc Fujian Fuqing Nuclear Power Co.,Ltd",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","G 2 (Marcoule)","http://www.world-nuclear.org/reactor/default.aspx/G-2%20(MARCOULE)","France","39 MWe","PERMANENT SHUTDOWN","Gas-Cooled Reactor","CEA (80%), EDF","Compagnie Generale Des Matieres Nucleaires","22 April 1959"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","G 3 (Marcoule)","http://www.world-nuclear.org/reactor/default.aspx/G-3%20(MARCOULE)","France","40 MWe","PERMANENT SHUTDOWN","Gas-Cooled Reactor","CEA","Compagnie Generale Des Matieres Nucleaires","4 April 1960"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Garigliano","http://www.world-nuclear.org/reactor/default.aspx/GARIGLIANO","Italy","150 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Societa Gestione Impanti Nucleari S.P.A.","Societa Gestione Impanti Nucleari S.P.A.","1 January 1964"
